Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","012","Algérie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-13.712189","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","171267.305185","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","1.999389","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","167258.300287","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","-2.340788","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","144323.52615","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-13.712189","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","3977289.455388","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","7.760824","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","3888326.788627","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-2.236766","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","3846413.928654","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-1.077915","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","4105202.181209","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","8.638031","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","4014394.1716","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","-2.212023","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","3953466.258965","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-1.517736","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","3218.419456","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","7.274919","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","3155.149348","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-1.965875","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","2864.399402","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-9.215093","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","3218.419456","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","7.274919","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","3155.149348","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","-1.965875","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","2864.399402","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-9.215093","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","101353.211652","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","-17.007854","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","89417.18912","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-11.776659","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","62306.915569","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-30.318861","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","93075.195256","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","-18.735976","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","81508.153533","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","-12.427631","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","57127.285414","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-29.912183","E","Valeur estimée",""
