Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2731","Viande de Bovins","2020","2020","Milliers de tonnes","1878","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2731","Viande de Bovins","2019","2019","million kcal","4086888.84","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2731","Viande de Bovins","2020","2020","million kcal","4013925.72","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2731","Viande de Bovins","2019","2019","g","291460.04","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2731","Viande de Bovins","2020","2020","g","284817.88","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","217","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2732","Viande d'Ovins/Caprins","2020","2020","Milliers de tonnes","215","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2732","Viande d'Ovins/Caprins","2020","2020","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","205","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2732","Viande d'Ovins/Caprins","2020","2020","Milliers de tonnes","214","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2732","Viande d'Ovins/Caprins","2019","2019","million kcal","515623.07","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2732","Viande d'Ovins/Caprins","2020","2020","million kcal","540063.48","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2732","Viande d'Ovins/Caprins","2019","2019","g","27761.75","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2732","Viande d'Ovins/Caprins","2020","2020","g","29004.92","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2733","Viande de porcins","2019","2019","Milliers de tonnes","3937","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2733","Viande de porcins","2020","2020","Milliers de tonnes","4282","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2733","Viande de porcins","2019","2019","Milliers de tonnes","147","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2733","Viande de porcins","2020","2020","Milliers de tonnes","59","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2733","Viande de porcins","2019","2019","Milliers de tonnes","3952","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2733","Viande de porcins","2020","2020","Milliers de tonnes","4115","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2733","Viande de porcins","2019","2019","million kcal","6437744.01","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2733","Viande de porcins","2020","2020","million kcal","6702744.5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2733","Viande de porcins","2019","2019","g","392134.36","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2733","Viande de porcins","2020","2020","g","408195","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2734","Viande de Volailles","2019","2019","Milliers de tonnes","4606","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2734","Viande de Volailles","2020","2020","Milliers de tonnes","4577","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2734","Viande de Volailles","2019","2019","Milliers de tonnes","232","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2734","Viande de Volailles","2020","2020","Milliers de tonnes","229","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2734","Viande de Volailles","2019","2019","Milliers de tonnes","4572","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2734","Viande de Volailles","2020","2020","Milliers de tonnes","4491","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2019","2019","million kcal","5580462.93","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2020","2020","million kcal","5486098.57","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2734","Viande de Volailles","2019","2019","g","562426.59","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2734","Viande de Volailles","2020","2020","g","552430.41","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2735","Viande, Autre","2019","2019","Milliers de tonnes","486","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2735","Viande, Autre","2020","2020","Milliers de tonnes","519","I","Valeur imputée"
