,Zone,PIB Croissance annuelle US$,PIB Croissance annuelle US$ par habitant,PIB Valeur US $,PIB Valeur US $ par habitant,Disponibilité alimentaire en quantité (kg/personne/an) autre viandes,Disponibilité de protéines en quantité (g/personne/jour) autre viandes,Disponibilité alimentaire en quantité (kg/personne/an) volailles,Disponibilité de protéines en quantité (g/personne/jour) volailles,Femmes,Hommes,Population rurale,Population totale,Population urbaine
131,Qatar,-4.089456,-5.79579,175837.550996,62088.061828,53.65,18.66,53.65,18.66,751.299,2055.936,22.293,2807.235,2721.608
132,Roumanie,3.48872,4.245233,249880.118218,12903.993529,23.65,10.08,23.65,10.08,10073.321,9450.89,8946.041,19524.211,10537.319
133,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,-0.762465,-1.33336,2878673.912414,42627.966539,33.39,14.44,33.39,14.44,33806.598,32972.061,10946.74,66778.659,56012.276
134,Rwanda,7.42897,4.664069,10357.474541,820.267328,1.67,0.56,1.67,0.56,6568.936,6266.092,10579.327,12835.028,2215.085
135,République arabe syrienne,20.387708,19.505591,26596.715331,1558.084651,6.61,2.46,6.61,2.46,10024.32,10073.931,8357.829,20098.251,10141.352
136,République centrafricaine,-0.080282,-1.739937,2219.195548,467.673136,2.59,0.88,2.59,0.88,2603.472,2605.852,2810.003,5209.324,2015.708
137,République de Corée,-4.263383,-4.363561,1651222.574475,32234.507491,21.19,7.19,21.19,7.19,25909.365,25894.464,9533.863,51803.829,41805.375
138,République de Moldova,4.48531,4.709643,11971.34502,2960.812844,16.65,5.78,16.65,5.78,1631.434,1478.057,2308.002,3109.491,1721.748
139,République dominicaine,3.957648,2.875213,88941.371981,8282.123087,35.46,10.55,35.46,10.55,5409.472,5472.41,1998.33,10881.882,8998.444
140,République démocratique du Congo,0.368273,-2.780113,47319.630272,545.216282,1.71,0.6,1.71,0.6,45306.478,44600.412,47659.965,89906.89,39067.608
141,République démocratique populaire lao,3.301225,1.745854,18740.561512,2613.945064,5.83,1.87,5.83,1.87,3575.847,3636.206,4546.186,7212.053,2518.056
142,République populaire démocratique de Corée,-6.609433,-7.033544,16331.452313,639.55639,1.95,0.57,1.95,0.57,13047.566,12707.874,9742.025,25755.441,15985.383
143,République-Unie de Tanzanie,7.178282,4.051882,62832.506604,1083.217052,0.83,0.28,0.83,0.28,30309.141,29563.439,39898.166,59872.579,21015.391
144,Saint-Kitts-et-Nevis,3.352606,2.605191,1044.711111,19777.580052,51.74,17.63,51.74,17.63,24.562,23.149,38.991,47.712,17.354
145,Saint-Vincent-et-les Grenadines,1.653953,1.306493,824.718519,7457.509504,77.29,27.27,77.29,27.27,51.288,53.636,52.356,104.924,58.132
146,Sainte-Lucie,2.598712,2.092987,2118.792593,11591.403209,32.0,11.22,32.0,11.22,90.001,88.582,146.612,178.583,33.842
147,Samoa,1.493881,0.995415,847.239532,4298.591718,70.11,23.67,70.11,23.67,103.759,108.147,162.995,211.905,35.914
148,Sao Tomé-et-Principe,3.678125,1.736233,430.633136,2002.423257,18.07,6.25,18.07,6.25,107.476,107.123,56.336,214.599,157.043
149,Serbie,1.725055,2.078958,51514.242776,7364.953767,13.83,4.78,13.83,4.78,3852.092,3548.963,3819.987,7401.056,4913.42
150,Seychelles,2.270149,1.597339,1582.869257,16194.858316,36.92,12.83,36.92,12.83,49.453,54.919,41.038,104.373,54.664
151,Sierra Leone,0.896399,-1.20935,4121.733685,527.533632,5.6,1.75,5.6,1.75,4016.374,4030.454,4534.084,8046.828,3349.039
152,Slovaquie,-0.310963,-0.384017,105284.375641,19293.407518,18.54,6.43,18.54,6.43,2790.862,2663.062,2522.243,5453.924,2928.744
153,Slovénie,0.028222,-0.011094,54178.877606,26064.403987,29.13,10.2,29.13,10.2,1054.83,1058.072,940.556,2112.901,1141.344
154,Soudan,-27.84766,-29.552667,34895.36208,815.060101,1.76,0.59,1.76,0.59,21624.451,21607.642,27661.508,43232.093,14852.586
155,Soudan du Sud,103.156907,101.574092,16442.376643,1486.36853,7.7,1.95,7.7,1.95,5280.526,5167.14,10623.927,10447.666,2639.257
156,Sri Lanka,-4.515682,-4.940943,83990.932868,3938.847521,8.73,2.94,8.73,2.94,11208.805,10440.86,17112.476,21649.664,3906.383
157,Suisse,-0.519458,-1.280832,731718.481696,85169.060062,16.68,6.87,16.68,6.87,4322.373,4253.216,2251.16,8575.588,6357.099
158,Suriname,5.453317,4.477092,3977.099088,6840.885162,50.79,15.15,50.79,15.15,300.864,299.437,194.302,600.301,378.783
159,Suède,-3.884352,-4.504359,533879.529188,53194.436877,16.31,7.02,16.31,7.02,5104.556,5163.366,1235.72,10267.922,8817.415
160,Sénégal,0.819804,-1.914946,23306.213218,1430.148051,7.17,2.42,7.17,2.42,8140.163,7860.618,8764.887,16000.781,7978.972
161,Tadjikistan,6.900368,4.375146,8300.81389,890.547995,2.08,0.7,2.08,0.7,4640.105,4696.898,6754.441,9337.003,2537.559
