,Zone,PIB Croissance annuelle US$,PIB Croissance annuelle US$ par habitant,PIB Valeur US $,PIB Valeur US $ par habitant,distance_to_france,country,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes),"Inflation, consumer prices (annual %)",Agricultural land (% of land area),CO2 emissions (kt),Container port traffic (TEU: 20 foot equivalent units),Population density (people per sq. km of land area),Merchandise exports (current US$),Merchandise imports (current US$),Rail lines (total route-km),country_code,Revenu National,PIB Domestique,Revenu national avant impôt - p0p50,Revenu national avant impôt - p90p100,Revenu national avant impôt - p99p100
36,Cuba,3.376312,3.418735,103428.0,9125.879485,7546.774349164066,CU,Americas,5688.414,5628.282,2630.623,11316.697,8861.423,329.0,294.0,35.0,70.0,739.0,0.0,736.0,874.0,307.0,2.227478809383,61.6666666666667,24418.5,322000,109.024055876686,2062000000,9901000000,2977.5,CU,20662.2171,24661.9449,0.1399,0.4409,0.1364
37,Danemark,-2.600559,-2.933837,347561.349211,60216.357595,1224.2644348462177,DK,Europe,2914.173,2881.706,693.384,5795.878,5081.84,146.0,142.0,158.0,3299.0,568.0,4642.0,340.0,471.0,41.0,0.758131572511619,65.649125,29696.5,880039,145.36055,111076000000,98184000000,2977.5,DK,50526.0483,59655.229,0.2162,0.3324,0.1242
38,Djibouti,8.311198,6.682792,3166.329057,3252.320409,5382.884108060108,DJ,Africa,540.367,533.626,217.689,1073.994,768.001,3.0,3.0,69.0,0.0,272.0,0.0,12.0,43.0,0.0,3.31925372703833,73.4253666954271,428.27,917000,46.3327868852459,3996000000,4138000000,2977.5,DJ,5658.2127,6640.7671,0.1309,0.4955,0.1586
39,Dominique,10.232462,9.951539,611.537037,8516.280039,6755.0365031799765,DM,Americas,35.755,35.673,21.816,71.428,52.863,5.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.50462353858147,33.3333333333333,174.1,7409,95.2373333333333,19000000,319000000,2977.5,DM,13368.18,13986.2946,0.1452,0.45389999999999997,0.1501
40,Espagne,-1.966796,-2.058916,1393046.093137,29806.208566,801.5424952374997,ES,Europe,24028.434,23102.938,9025.938,47131.372,37415.111,1571.0,188.0,1631.0,5225.0,6042.0,6079.0,11970.0,10107.0,4184.0,0.699518994458693,52.4584917258728,241886.5,17464920,94.3508089023978,334018000000,372750000000,15718,ES,33852.3205,40654.8423,0.2122,0.3412,0.1204
41,Estonie,1.823877,1.614337,31045.591753,23419.18198,2051.007570421951,EE,Europe,699.545,627.494,403.516,1327.039,900.282,29.0,25.0,20.0,161.0,74.0,847.0,13.0,27.0,0.0,2.27725931243518,23.1204678362573,10060.7,241338,31.0385497076023,16101000000,18025000000,2977.5,EE,30337.1028,36990.2816,0.1662,0.4076,0.1692
42,Eswatini,-4.160505,-5.149594,4471.045112,3894.197619,8610.00490472835,SZ,Africa,589.812,579.801,1075.98,1169.613,339.434,8.0,2.0,6.0,1.0,60.0,1.0,44.0,151.0,95.0,2.227478809383,40.44699488220985,17873.55,1229081.0,81.8442208657917,10869000000.0,13897500000.0,2977.5,,14308.86245,17160.489999999998,0.1452,0.45389999999999997,0.1501
43,Fidji,-1.52551,-2.241425,5496.254429,6175.892917,16708.04355128286,FJ,Oceania,457.099,461.366,397.364,918.465,521.393,39.0,5.0,35.0,0.0,183.0,0.0,1.0,2.0,1.0,1.7731018246027,17.1209633278599,1393.5,145782.4,50.2717569786535,1033000000,2734000000,2977.5,FJ,13430.4026,17192.3369,0.1452,0.45389999999999997,0.1501
44,Finlande,-2.514413,-2.683228,268782.47138,48585.483016,2298.4483443625195,FI,Europe,2795.778,2725.759,809.403,5521.537,4751.986,120.0,17.0,139.0,284.0,241.0,914.0,27.0,31.0,0.0,1.02409392963429,7.48198598361465,40987.1,1628170,18.1673609054717,73468000000,73716000000,5923,FI,40093.0853,49599.4839,0.218,0.3312,0.1026
45,France,-2.224564,-2.45716,2728870.246706,40516.996615,0.0,FR,Europe,33258.507,31141.251,12631.632,64399.759,52849.078,1510.0,541.0,1660.0,5955.0,2274.0,40605.0,5204.0,997.0,12845.0,1.10825492288292,52.2706969320089,300561.6,4992918,123.070294051578,570951000000,654658000000,28157,FR,40346.8116,46543.6734,0.2264,0.3242,0.0999
46,Gabon,0.041934,-2.412584,16874.40546,7766.992804,5309.973739355311,GA,Africa,1098.462,1144.323,216.365,2242.785,1892.734,76.0,72.0,4.0,1.0,114.0,0.0,22.0,9.0,45.0,2.46456756151187,8.58710754065277,5274.5,192998,8.70409826522296,6722000000,2538000000,648,GA,18454.8674,21496.5464,0.1442,0.4332,0.1102
47,Gambie,8.090469,4.977553,1805.852806,769.198872,3997.90911468849,GM,Africa,1261.541,1247.342,848.212,2508.883,1379.863,26.0,25.0,2.0,0.0,72.0,0.0,0.0,5.0,17.0,2.227478809383,40.44699488220985,17873.55,1229081.0,81.8442208657917,10869000000.0,13897500000.0,2977.5,,3280.3375,3742.8718,0.1502,0.4587,0.1361
48,Ghana,1.600026,-0.573586,68353.477449,2247.149748,4267.894143613903,GH,Africa,15798.612,15723.678,13029.799,31522.29,17067.171,221.0,153.0,68.0,0.0,746.0,0.0,500.0,14.0,2900.0,7.14364003330858,55.3913158126044,18039.1,1079247,138.535158653424,15668000000,13411000000,2977.5,GH,7249.0898,8283.514,0.1221,0.4891,0.1523
49,Grenade,4.026608,3.516706,1213.4854,10834.400864,7022.057664680296,GD,Americas,61.24,61.483,69.217,122.724,39.608,8.0,7.0,1.0,0.0,13.0,0.0,6.0,6.0,0.0,0.59814976473601,23.5294117647059,346.2,12343,360.952941176471,34000000,480000000,2977.5,GD,14332.9174,18070.4576,0.1452,0.45389999999999997,0.1501
50,Grèce,-3.256455,-2.805772,205144.162906,19587.057271,1783.6752087046661,GR,Europe,5391.864,5182.16,2292.972,10574.024,8831.631,272.0,79.0,230.0,487.0,1220.0,982.0,1756.0,846.0,1234.0,0.25300752203812,45.5173622963538,59990.3,6153567,83.1775174553918,37907000000,62384000000,2280,GR,25245.2214,29976.4177,0.2106,0.3264,0.1084
51,Guinée,13.972967,10.787452,13513.809311,1058.143372,4189.748724752413,GN,Africa,6527.547,6349.991,8507.787,12877.539,4890.393,35.0,40.0,11.0,142.0,422.0,0.0,541.0,5.0,871.0,9.47001039253011,59.0102555754517,4517,248659,52.4073701774377,3945000000,3470000000,2977.5,GN,3564.1901,4395.3574,0.182,0.3789,0.0863
