Zone,PIB Valeur US $,Céréales - Disponibilité intérieure (Milliers de tonnes),Fruits - Disponibilité intérieure (Milliers de tonnes),Légumes - Disponibilité intérieure (Milliers de tonnes),Poisson - Disponibilité intérieure (Milliers de tonnes),Viande - Disponibilité intérieure (Milliers de tonnes),distance_to_france,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes)
Fidji,5496.254429,157.0,37.0,66.0,55.81,51.0,16708.04355128286,Oceania,457.099,461.366,397.364,918.465,521.393,39.0,5.0,35.0,0.0,183.0,0.0,1.0,2.0,1.0
Finlande,268782.47138,2979.0,429.0,503.0,669.65,404.0,2298.4483443625195,Europe,2795.778,2725.759,809.403,5521.537,4751.986,120.0,17.0,139.0,284.0,241.0,914.0,27.0,31.0,0.0
France,2728870.246706,34228.0,12596.0,7209.0,6998.72,5193.0,0.0,Europe,33258.507,31141.251,12631.632,64399.759,52849.078,1510.0,541.0,1660.0,5955.0,2274.0,40605.0,5204.0,997.0,12845.0
Gabon,16874.40546,306.0,399.0,71.0,198.67,137.0,5309.973739355311,Africa,1098.462,1144.323,216.365,2242.785,1892.734,76.0,72.0,4.0,1.0,114.0,0.0,22.0,9.0,45.0
Gambie,1805.852806,387.0,16.0,34.0,97.5,37.0,3997.90911468849,Africa,1261.541,1247.342,848.212,2508.883,1379.863,26.0,25.0,2.0,0.0,72.0,0.0,0.0,5.0,17.0
Ghana,68353.477449,6817.0,6431.0,943.0,1207.1200000000001,425.0,4267.894143613903,Africa,15798.612,15723.678,13029.799,31522.29,17067.171,221.0,153.0,68.0,0.0,746.0,0.0,500.0,14.0,2900.0
Grenade,1213.4854,17.0,18.0,12.0,12.8,9.0,7022.057664680296,Americas,61.24,61.483,69.217,122.724,39.608,8.0,7.0,1.0,0.0,13.0,0.0,6.0,6.0,0.0
Grèce,205144.162906,4636.0,2469.0,1861.0,1545.27,840.0,1783.6752087046661,Europe,5391.864,5182.16,2292.972,10574.024,8831.631,272.0,79.0,230.0,487.0,1220.0,982.0,1756.0,846.0,1234.0
Guinée,13513.809311,5802.0,1288.0,667.0,314.43,187.0,4189.748724752413,Africa,6527.547,6349.991,8507.787,12877.539,4890.393,35.0,40.0,11.0,142.0,422.0,0.0,541.0,5.0,871.0
Guinée-Bissau,1322.269762,385.0,112.0,42.0,30.88,30.0,4163.963849544478,Africa,998.712,971.745,1098.44,1970.457,855.283,6.0,3.0,3.0,26.0,32.0,78.5,1.0,0.0,10.0
